Topic,Count,Name,Representation,Representative_Docs
-1,51,-1_ettoday_net_沒自首_energy,"['ettoday', 'net', '沒自首', 'energy', 'news', '修杰楷', '陳柏霖', '人格', '也是爸爸確實犯錯在先啊', '不要再聽你的藉口']","['今天起訴12人！ ettoday.net/news…  2 / 2 ettoday.net 裝高血壓閃兵！修杰楷、坤達、陳柏霖、書偉、小杰遭「求刑2年8月」 | ETtoday社會新聞 | ETtoday新聞雲', '實際上給逃兵藝人兩次機會了 5月調查閃兵藝人，沒自首 內政部長發通知單，沒自首 第三次直接被抓 給你兩次改過自新的機會，卻沒勇敢自首、負責。 逃兵男藝人「 人格 」上有很大的問題。 已經給兩次機會自首，自首了，大家或許網開一面再給你一次機會。 但如今是直接被抓，真的就沒什麼好說了，只能從螢幕上消失。 如果往後他們復出，那台灣人的問題就很大了，台灣人等同於支持犯罪。 為了不助長犯罪環境，應該效仿韓國直接淘汰劣跡藝人。', '實際上給逃兵藝人兩次機會了 5月調查閃兵藝人，沒自首 內政部長發通知單，沒自首 第三次直接被抓 給你兩次改過自新的機會，卻沒勇敢自首、負責。 逃兵男藝人「 人格 」上有很大的問題。 已經給兩次機會自首，自首了，大家或許網開一面再給你一次機會。 但如今是直接被抓，真的就沒什麼好說了，只能從螢幕上消失。 如果往後他們復出，那台灣人的問題就很大了，台灣人等同於支持犯罪。 為了不助長犯罪環境，應該效仿韓國直接淘汰劣跡藝人。']"
0,53,0_陳柏霖_高血壓_熱門_查看動態,"['陳柏霖', '高血壓', '熱門', '查看動態', '假扮高血壓', '15', 'setn', '快訊', 'energy書偉', '修杰楷']","['謝坤達跟修杰楷，我覺得是最過分的兩個。 謝的確氣胸過，有引流手術，但還不達免役。他是用假資料（高血壓）申請免疫，然後對外宣稱氣胸免役，騙國家又騙社會大眾。 修杰楷達不到免役，用高血壓拿到替代役，還要叫賈靜雯懷孕好用家有幼兒提早離席。 這群人，五月被通知，十月被上銬才說會反省。有一些帳號很奇怪，都幾第幾天了還在糾結藝人被上銬。迷妹瞎護航也就算了，一堆看起來是男的帳號也在護航。 我就問，哪個正常服役的看他們被抓會心疼的？ 護航的八成自己也逃兵，怕自己被上銬吧！ 要新增最可惡第三：陳柏霖 用高血壓逃兵，對外說氣喘', '謝坤達跟修杰楷，我覺得是最過分的兩個。 謝的確氣胸過，有引流手術，但還不達免役。他是用假資料（高血壓）申請免疫，然後對外宣稱氣胸免役，騙國家又騙社會大眾。 修杰楷達不到免役，用高血壓拿到替代役，還要叫賈靜雯懷孕好用家有幼兒提早離席。 這群人，五月被通知，十月被上銬才說會反省。有一些帳號很奇怪，都幾第幾天了還在糾結藝人被上銬。迷妹瞎護航也就算了，一堆看起來是男的帳號也在護航。 我就問，哪個正常服役的看他們被抓會心疼的？ 護航的八成自己也逃兵，怕自己被上銬吧！ 要新增最可惡第三：陳柏霖 用高血壓逃兵，對外說氣喘', '謝坤達跟修杰楷，我覺得是最過分的兩個。 謝的確氣胸過，有引流手術，但還不達免役。他是用假資料（高血壓）申請免疫，然後對外宣稱氣胸免役，騙國家又騙社會大眾。 修杰楷達不到免役，用高血壓拿到替代役，還要叫賈靜雯懷孕好用家有幼兒提早離席。 這群人，五月被通知，十月被上銬才說會反省。有一些帳號很奇怪，都幾第幾天了還在糾結藝人被上銬。迷妹瞎護航也就算了，一堆看起來是男的帳號也在護航。 我就問，哪個正常服役的看他們被抓會心疼的？ 護航的八成自己也逃兵，怕自己被上銬吧！ 要新增最可惡第三：陳柏霖 用高血壓逃兵，對外說氣喘 2,010 8 43 43 熱門 查看動態']"
1,42,1_翻譯_機率很大_想要以退為進_結果表情洩露一切,"['翻譯', '機率很大', '想要以退為進', '結果表情洩露一切', '笑死', '08', '110', '261', '222', '782']","['想要以退為進，結果表情洩露一切～', '想要以退為進，結果表情洩露一切～', '快訊／王大陸閃兵案延燒，檢警今發動第3波搜索‼️ 修杰楷、陳柏霖清晨遭拘提😨預計今會拘提10人❗️ 【08:40更新】Energy書偉也遭拘提到案  1 / 2 1.1 萬 530 294 2,782 熱門 查看動態']"
2,32,2_一定牽扯到了什麼_就是想賭看看會不會沒那麼衰被抓到啦_就可以出來了_再然後都忘記當初的牽線人,"['一定牽扯到了什麼', '就是想賭看看會不會沒那麼衰被抓到啦', '就可以出來了', '再然後都忘記當初的牽線人', '偏偏要等到被抓才要承認', '其實早800年前就可以主動站出來面對', '他會好好面對', '你要自首', '會勇敢面對', '會完全配合司法']","['他們的行爲￼確實是錯誤的示範，但你也太誇張了吧，￼好像生平第一次￼遇到人說謊一樣！ ￼人非聖賢，￼每個人￼或多或少都曾經做過一些￼不道德且違背良心的事，￼但我覺得只要￼不是什麼重大的過錯，￼知錯能改，再次重生的自己是更強大且優秀的，￼所以才會很多職場上的主管，都會鼓勵￼自己的員工大膽地去冒險，甚至犯錯，￼你￼難道不曉得生命中很多美好，開局都是因為一個￼小￼失誤嗎？到底是什麼樣的教育，居然￼去教育出一個￼咄咄逼人，不許人犯錯的成年女子，￼￼我確定未來當你孩子的人，壓力￼絕對隨時爆表！', '唉😮\u200d💨 真的⋯⋯  套句網友說的：就是偽造文書和逃避兵役。 他會好好面對 是檢警都要拘提了 當然要面對 你要自首 早該第一波 就可以出來了 還在得過且過……', '唉😮\u200d💨 真的⋯⋯  套句網友說的：就是偽造文書和逃避兵役。 他會好好面對 是檢警都要拘提了 當然要面對 你要自首 早該第一波 就可以出來了 還在得過且過……']"
3,20,3_他們早就被通知自首了_這波閃兵的男藝人們完全不值得同情_孩子目睹爸爸上銬_坤達長年把氣胸當成沒當兵的藉口,"['他們早就被通知自首了', '這波閃兵的男藝人們完全不值得同情', '孩子目睹爸爸上銬', '坤達長年把氣胸當成沒當兵的藉口', '修杰楷和賈靜雯還沒針對造謠', '沒人自首', '沒有一個敢把閃兵牽線人抖出來', '為什麼要欺騙粉絲和大眾', '警方並未當孩子面上銬修杰楷', '都說事隔多年忘記了']","['這波閃兵的男藝人們完全不值得同情： 1. 他們早就被通知自首了，沒人自首。 2. 沒有一個敢把閃兵牽線人抖出來，都說事隔多年忘記了。 3. 坤達長年把氣胸當成沒當兵的藉口，為什麼要欺騙粉絲和大眾？ 4. 修杰楷和賈靜雯還沒針對造謠「孩子目睹爸爸上銬」道歉。  1 / 2 1.3 萬', '這波閃兵的男藝人們完全不值得同情： 1. 他們早就被通知自首了，沒人自首。 2. 沒有一個敢把閃兵牽線人抖出來，都說事隔多年忘記了。 3. 坤達長年把氣胸當成沒當兵的藉口，為什麼要欺騙粉絲和大眾？ 4. 修杰楷和賈靜雯還沒針對造謠「孩子目睹爸爸上銬」道歉。  1 / 2 1.3 萬 267 619 255 熱門 查看動態', '這波閃兵的男藝人們完全不值得同情： 1. 他們早就被通知自首了，沒人自首。 2. 沒有一個敢把閃兵牽線人抖出來，都說事隔多年忘記了。 3. 坤達長年把氣胸當成沒當兵的藉口，為什麼要欺騙粉絲和大眾？ 4. 修杰楷和賈靜雯還沒針對造謠「孩子目睹爸爸上銬」道歉。  1 / 2 1.3 萬 267 619 255 熱門 查看動態']"
4,19,4_六棒正面回應兵役問題_對國家沒幫助_282_starettoday,"['六棒正面回應兵役問題', '對國家沒幫助', '282', 'starettoday', '51', '一個團湊不出一張退伍令', 'energy也抓好幾個', '39', '19', '以前還有當過三年兵的老學長們']","['修杰楷沒當兵我真的很意外 以前還小時候住在綠色奇蹟的時候 他們家在慈雲街還是慈祥街擺麵攤 修杰楷是偶爾才會來幫忙煮麵 我小時候問過帥哥哥去哪 他媽媽說跟我們講因為他在當兵 結果根本沒當🤡  1 / 3 282 39 2 51 熱門 查看動態', '舞團棒棒堂跟Energy 剛好「全員」都有病，都不用當兵 這機率你敢信？年輕時有病可以跳舞不能當兵，但中年可以16蹲好神奇 還有一堆腦粉在幫逃兵的偶像護航，笑死！ 補上影片，看看阿緯油膩的回答 ：我們沒當兵是百分之百 合情合理的 starettoday 棒棒堂 2025-10-19 六棒正面回應兵役問題‼️', '是覺得... 當兵用意保家衛國 那不想當兵那些藝人公子哥 怎麼辦？ 可以 用金錢換天數， 用錢買國防武器， 一天一萬一年365萬， 反正 公子哥在軍中站爽缺也是混吃等死，對國家沒幫助，浪費彼此時間而已 且 總比逃兵好吧？ 逃兵給醫生賺， 對國家沒幫助， 自己還背上逃兵罪名， 還不如 沒力出錢， 沒錢出力。 天經地義。']"
5,18,5_他替代役的時間是2016_我講的故事背景是2007左右_作者_主動自首,"['他替代役的時間是2016', '我講的故事背景是2007左右', '作者', '主動自首', '不過我也是剛剛才去查他2016有當替代役', '不過他媽如果真的不知道的話', '他們是', '他替代役', '他就像個英雄一樣', '他替代役是2016']","['· 作者 他替代役的時間是2016 我講的故事背景是2007左右', '· 作者 他替代役的時間是2016 我講的故事背景是2007左右', '五月給過你們機會了，主動自首 （我會買單，代表還有救跟承擔錯誤） 這三個我都不買單硬是拖到派出檢警拘提 （就是是僥倖心態，反正一天沒找上門我就繼續裝死躲過司法審判，這人品就是不ok) 尤其是修，身體健康沒問題拖到33歲還死不當，賈已經二胎了喔，後面改替代役還用第三胎的名義提早退役 身體沒問題拖到33歲還死不服兵役 我不相信太太不知道 孩子照護問題不用討論 蓄意犯法自已不檢討，現在居然「檢討執法者」 逃就算了，你還不安份，還營造好爸爸人設 拿代言賺錢 （你知法犯法敢靠孩子來賺錢，你良心在哪裡） 連檢察官都出動了，代表證據已經足夠了 才演變拘提的場面 結果一堆在護航加油犯罪者 大仁哥講的冠冕堂皇 表情還帶幾分得意好像他承認了 他就像個英雄一樣 追星歸追星，我在怎麼喜歡也不會盲從力挺 犯法就是犯法 拜託，他不承認刑責更高 清醒一點 他們是「被動自首」，為了就是減輕刑責']"
6,14,6_不愧是和勝利在夜店玩在一起的男人_荒謬的選擇_浪漫個鬼_閃兵被抓還能嘻嘻哈哈不當一回事,"['不愧是和勝利在夜店玩在一起的男人', '荒謬的選擇', '浪漫個鬼', '閃兵被抓還能嘻嘻哈哈不當一回事', '謝謝檢警讓我面對年少時候做出很取巧', '有人說這句話很浪漫', '昨天陳柏霖交保出來的時候說', '竟然還能笑著講說釋然', 'applepiehouse', '好歹也該裝做有在懺悔的樣子吧']","['昨天陳柏霖交保出來的時候說：「謝謝檢警讓我面對年少時候做出很取巧、荒謬的選擇。」 有人說這句話很浪漫（蛤？） 浪漫個鬼？閃兵被抓還能嘻嘻哈哈不當一回事，不愧是和勝利在夜店玩在一起的男人。  1 /', '· 作者 陳柏霖是勝利的朋友 \U0001fae9 applepiehouse 2025-10-22 昨天陳柏霖交保出來的時候說：「謝謝檢警讓我面對年少時候做出很取巧、荒謬的選擇。」 有人說這句話很浪漫（蛤？） 浪漫個鬼？閃兵被抓還能嘻嘻哈哈不當一回事，不愧是和勝利在夜店玩在一起的男人。  1 /', '· 作者 陳柏霖是勝利的朋友 \U0001fae9 applepiehouse 2025-10-22 昨天陳柏霖交保出來的時候說：「謝謝檢警讓我面對年少時候做出很取巧、荒謬的選擇。」 有人說這句話很浪漫（蛤？） 浪漫個鬼？閃兵被抓還能嘻嘻哈哈不當一回事，不愧是和勝利在夜店玩在一起的男人。  1 /']"
7,13,7_一堆人還幫他們帶風向_到底幹嘛把自己的未來交到這些逃避責任的男人身上_並以當兵為榮的優質台灣男之外_學生黨真的一堆都在想著要怎麼把自己搞到身體有問題來逃避跟閃兵喔,"['一堆人還幫他們帶風向', '到底幹嘛把自己的未來交到這些逃避責任的男人身上', '並以當兵為榮的優質台灣男之外', '學生黨真的一堆都在想著要怎麼把自己搞到身體有問題來逃避跟閃兵喔', '台灣男人真的是快沒救了', '現在一堆男的現在就是都抱持這種心態在逃兵的', '要說這種男的多有責任感', '撇除那些實實在在完成兵役', '所以台灣女人現在不婚不生是正確的', '我必須說']","['重點是還有男的幫這種人說話，唉.....台灣男人真的是快沒救了，撇除那些實實在在完成兵役、並以當兵為榮的優質台灣男之外，現在一堆男的現在就是都抱持這種心態在逃兵的，我必須說，學生黨真的一堆都在想著要怎麼把自己搞到身體有問題來逃避跟閃兵喔 ＾＾要說這種男的多有責任感，誰會信= = 所以台灣女人現在不婚不生是正確的，到底幹嘛把自己的未來交到這些逃避責任的男人身上', '重點是還有男的幫這種人說話，唉.....台灣男人真的是快沒救了，撇除那些實實在在完成兵役、並以當兵為榮的優質台灣男之外，現在一堆男的現在就是都抱持這種心態在逃兵的，我必須說，學生黨真的一堆都在想著要怎麼把自己搞到身體有問題來逃避跟閃兵喔 ＾＾要說這種男的多有責任感，誰會信= = 所以台灣女人現在不婚不生是正確的，到底幹嘛把自己的未來交到這些逃避責任的男人身上', '你說的那個世界，其實挺美好的，每個人都對自己的道德標準，採取最高規格的管理自己，你要不要出來￼選總統，從政？￼￼￼￼把你腦子裡面的完美烏托邦，￼在台灣真正讓它發生？￼我說真的，我不是批評你，我是認真的喜歡你所描述的那完美世界，我也希望我未來的孩子，可以活在那個世界￼ 人們偏向於鼓勵￼人性的光明面，誰都愛一個正面，樂觀，陽光，￼積極，負責的人，￼￼但偏偏人就不只是只有光明面，￼￼人也會有自私，貪心，慾望，心存僥倖，說謊的陰暗面，如果面對陰暗面只是一昧的打壓，￼並且還￼粗魯的貼上這個人就是陰暗的人，過去的那些光明表現全都是假的，那麼我覺得這個社會將會變得非常扭曲。 ￼￼做個中性的人，有彈性的去調整自己的話語權，不要一個人有功，￼我們就造神將他捧上天，或是一個人犯錯或犯￼輕罪，￼我們就急著將其推到萬丈深淵￼，一個進步的民主社會，本來就具備允許人們犯錯的包容度（￼我指的不是殺人，強姦那種￼罪大惡極）']"
8,8,8_作者_我搬家過沒多久就收了_大家對藝人都嘛輕輕放下_還是他同步ig的貼文到脆上,"['作者', '我搬家過沒多久就收了', '大家對藝人都嘛輕輕放下', '還是他同步ig的貼文到脆上', '粉絲不要跟小草一樣什麼都吞', '我猜可能2010左右就收了吧', '已經收很久了耶', '感覺也有可能', '對啊但還是被拘提了啊哈哈哈', '真的蠻令人意外的']","['· 作者 沒錯', '· 作者 還是他同步Ig的貼文到脆上？感覺也有可能', '· 作者 已經收很久了耶！ 我搬家過沒多久就收了 我猜可能2010左右就收了吧']"
