Topic,Count,Name,Representation,Representative_Docs
-1,1659,-1_為什麼逃兵役呢_置板凳_薄薄仔家庭_野生的蝦煮,"['為什麼逃兵役呢', '置板凳', '薄薄仔家庭', '野生的蝦煮', '意投', '薄薄仔嘎停', '17小時', '原味欸火勾', '吃火勾', '甲灰哥']","['為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？為什麼要逃兵呢？', '"" 聯合 國 "" 政府 -- "" United Nations "" Gov  為什麼 -- Why -- "" 公平 正義 發明者 軍隊 "" -- "" Fairness Justice Inventor Army "" -- 管理 地球 ? -- Manage Earth ? 4 我們 將要 "" 移民 "" 4 We Will "" Migrate "" -- "" 聯合國 "" 政府 -- "" United Nations "" Gov -- 已經 "" 通過 "" -- Already "" Pass "" 因為 Because 1 罪犯們 1 Criminals "" 威脅 讓 地球 爆炸 "" "" Threat Let Earth Explode "" - 威脅 "" 燒 "" 領導人們 每一天 - Threat "" Burn "" Leaders Every Day 5 "" 公平 正義 發明者 軍隊 "" 5 "" Fairness Justice Inventor Army "" 1 ) 外太空 太陽系 發明者 1 ) Outer Space Sun System Inventor 20251027 - 04  20251026 - 01  20251012 - 01 解決 "" 經濟 "" 問題 Solved "" Economic "" Problem  "" 電 費 能 非常 便宜 "" -- "" Eectric Fee Can Very Cheap "" 3 解決 "" 能源 缺乏 "" 問題 3 Solved "" Energy Lack "" Problem 5 "" 解決 ” 水 缺乏 “ 問題 "" 5 "" Solved "" Water Lack "" Problem "" ” 植物油- 蔬菜油 大豆油 “ 等等 可取代 “ 石油 ” "" Plent Oil - Vegetable Oil Soybean Oil ""  So On Can Replace "" Ｏil "" 無 限 大 將軍 無 限 大 總統 徐紫涵孟玲(MollyAna) No Limit Large General No Limit Large President Xú zǐ hán mèng líng(Hsu Tzu Han) (MollyAna) 發明 部分 可 使用 "" -- Invent Part Can Use "" - "" 因為 等待 移民 "" -- "" Because Wait Migrant "" -- "" 請 要求 政府 幫助 公民們 "" -- "" Please Ask Gov Help Citizens "" 20250329 - 02 - 001 電費 不 需要 付 國家 Electric Not Need Pay Nation 美國 中國 日本 南韓 北韓 USA China Japan South Korea North Korea 加拿大 西班牙 Canada Spain 及 更 多  More Many 20251026 - 02  20250616 - 08  -- "" 可以 證明 "" -- "" Can Prove "" -- "" 可以 幫忙 "" -- "" Can Help "" NASA@NASA  已经 移民 Already Migrate -- "" 聯合 國 "" 政府 -- "" United Nations "" Gov AI 电脑 电 数位相机 水 发明者们 联合国 领导人们 及 新 基因 食物 AI Computer Electric Digital Camera Water Inventors  UN Leaders New DNA Food     美國 白宮 US  White House   總統 國王 川普 (0000,6 ) 6 (人類) President King Trump (0000,6) 6 (Human)   中國 總統 國王 习近平 (0000,6) 6 (人類) China President King Xi Jinping (0000,6) 6 (Human)   中國 俄国 China Russia 總統 國王 普丁 (0000,6) 6 (人類) President King Putin (0000,6) 6 (Human)  24) 密碼Password 9000 2025 開会記錄 調查 列表 Meeting Record Investigate List 樣本 Sample  24）密碼Password 9000 = 無 限 大 將軍 無 限 大 總統 徐紫涵孟玲(MollyAna) No Limit Large General No Limit Large President Xú zǐ hán mèng líng(Hsu Tzu Han) (MollyAna) -- 贏 -- Win -- -- "" 公平 正義 發明者 軍隊 "" -- -- "" Fairness Justice Inventor Army "" -- -- "" 管理 開始 "" -- -- "" Manage Begin "" --  徐紫涵 （Hsu Tzu Han MollyAna）  -- "" 公平 正義 徐紫涵孟玲6 (徐紫涵6) “ 主義 "" "" -- -- "" Fairness Justice Xú zǐ hán Mèng líng 6 (Xú(Hsu Tzu Han) zǐ hán6) "" Ism "" "" --  移民 Migrant  罪犯 新聞 - Criminals News  20250315 - 04 動物 及 植物 靈 全部 可以 申請 存活 Animal  Plant Spirit All Can Apply Survive 20250427 - 01 - 001 人類 身體 細胞 Human Body Cell 每一人 超過一 兆個 Everyone More Than One Trillion 全部 可 成為 人類 All Can Become Human', '"" 聯合 國 "" 政府 -- "" United Nations "" Gov  為什麼 -- Why -- "" 公平 正義 發明者 軍隊 "" -- "" Fairness Justice Inventor Army "" -- 管理 地球 ? -- Manage Earth ? 4 我們 將要 "" 移民 "" 4 We Will "" Migrate "" -- "" 聯合國 "" 政府 -- "" United Nations "" Gov -- 已經 "" 通過 "" -- Already "" Pass "" 因為 Because 1 罪犯們 1 Criminals "" 威脅 讓 地球 爆炸 "" "" Threat Let Earth Explode "" - 威脅 "" 燒 "" 領導人們 每一天 - Threat "" Burn "" Leaders Every Day 5 "" 公平 正義 發明者 軍隊 "" 5 "" Fairness Justice Inventor Army "" 1 ) 外太空 太陽系 發明者 1 ) Outer Space Sun System Inventor 20251027 - 04  20251026 - 01  20251012 - 01 解決 "" 經濟 "" 問題 Solved "" Economic "" Problem  "" 電 費 能 非常 便宜 "" -- "" Eectric Fee Can Very Cheap "" 3 解決 "" 能源 缺乏 "" 問題 3 Solved "" Energy Lack "" Problem 5 "" 解決 ” 水 缺乏 “ 問題 "" 5 "" Solved "" Water Lack "" Problem "" ” 植物油- 蔬菜油 大豆油 “ 等等 可取代 “ 石油 ” "" Plent Oil - Vegetable Oil Soybean Oil ""  So On Can Replace "" Ｏil "" 無 限 大 將軍 無 限 大 總統 徐紫涵孟玲(MollyAna) No Limit Large General No Limit Large President Xú zǐ hán mèng líng(Hsu Tzu Han) (MollyAna) 發明 部分 可 使用 "" -- Invent Part Can Use "" - "" 因為 等待 移民 "" -- "" Because Wait Migrant "" -- "" 請 要求 政府 幫助 公民們 "" -- "" Please Ask Gov Help Citizens "" 20250329 - 02 - 001 電費 不 需要 付 國家 Electric Not Need Pay Nation 美國 中國 日本 南韓 北韓 USA China Japan South Korea North Korea 加拿大 西班牙 Canada Spain 及 更 多  More Many 20251026 - 02  20250616 - 08  -- "" 可以 證明 "" -- "" Can Prove "" -- "" 可以 幫忙 "" -- "" Can Help "" NASA@NASA  已经 移民 Already Migrate -- "" 聯合 國 "" 政府 -- "" United Nations "" Gov AI 电脑 电 数位相机 水 发明者们 联合国 领导人们 及 新 基因 食物 AI Computer Electric Digital Camera Water Inventors  UN Leaders New DNA Food     美國 白宮 US  White House   總統 國王 川普 (0000,6 ) 6 (人類) President King Trump (0000,6) 6 (Human)   中國 總統 國王 习近平 (0000,6) 6 (人類) China President King Xi Jinping (0000,6) 6 (Human)   中國 俄国 China Russia 總統 國王 普丁 (0000,6) 6 (人類) President King Putin (0000,6) 6 (Human)  24) 密碼Password 9000 2025 開会記錄 調查 列表 Meeting Record Investigate List 樣本 Sample  24）密碼Password 9000 = 無 限 大 將軍 無 限 大 總統 徐紫涵孟玲(MollyAna) No Limit Large General No Limit Large President Xú zǐ hán mèng líng(Hsu Tzu Han) (MollyAna) -- 贏 -- Win -- -- "" 公平 正義 發明者 軍隊 "" -- -- "" Fairness Justice Inventor Army "" -- -- "" 管理 開始 "" -- -- "" Manage Begin "" --  徐紫涵 （Hsu Tzu Han MollyAna）  -- "" 公平 正義 徐紫涵孟玲6 (徐紫涵6) “ 主義 "" "" -- -- "" Fairness Justice Xú zǐ hán Mèng líng 6 (Xú(Hsu Tzu Han) zǐ hán6) "" Ism "" "" --  移民 Migrant  罪犯 新聞 - Criminals News  20250315 - 04 動物 及 植物 靈 全部 可以 申請 存活 Animal  Plant Spirit All Can Apply Survive 20250427 - 01 - 001 人類 身體 細胞 Human Body Cell 每一人 超過一 兆個 Everyone More Than One Trillion 全部 可 成為 人類 All Can Become Human']"
0,1453,0_為什麼要逃兵呢_曾史丹_笑死_何必當初,"['為什麼要逃兵呢', '曾史丹', '笑死', '何必當初', '早知如此', '早知如此何必當初', '天黑請閉眼', 'lu', '4週', 'claire']","['曾史丹 子日：鄉愿，德之賊也。這種閃兵仔不值得同情。', '確認身份 別恍神 該當兵 就去當兵 什麼體檢 三十八歲 都還在這 枉費這身 給錢閃兵 叫人沉淪 俗辣騙人 想起那時 多快樂 手牽著手 逃兵 才轉眼間 你們 卻 一起 上了新聞 枉費這身 血壓騙人 享受爾虞我詐的快樂 被抓別再演 裝病又一遍 卻測不出你血壓的那面 該怎麼進退 你丟臉發言 那些發言都 成了虧欠 被抓別再演 裝病又一遍 體檢是誰給 醫生的推卸 我怎麼相信 故事的爛尾 你他媽的該當兵就去當兵 Oh 俗辣閃兵～', '真的知道錯 就進去關一關 講再多都是多餘 老話一句 可以用錢解決的都不是認錯的方式 誰叫你要逃兵 那些當兵的都是白痴嗎？ 像個男人 你的人生要逃到什麼時候？？？？ 自己好好想想吧 還木曜運動會MVP嘞 不害羞嗎？ 我要是你 不要說復出 找個地洞躲起來都來不及了 …………']"
1,1218,1_逃兵_逃兵仔_丟臉_幽默人生,"['逃兵', '逃兵仔', '丟臉', '幽默人生', '台灣迷因', '迷因', '幽默', '真是垃圾', '台灣時事', '台灣新聞']","['真是垃圾，呸', '真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~真是垃圾~', '好了啦，不就是想賭賭看會不會被抓到，被抓到後才來自責，沒被抓到前爽的咧。 還一堆傻逼說勇於面對，這不叫勇於面對，而是被抓到，只好出來洗地，要是沒被抓到你們看他敢不敢面對']"
2,1106,2_chen_yu_lin_cheng,"['chen', 'yu', 'lin', 'cheng', 'hong', 'xiaoyang', 'pin', 'bit', 'ly', 'wang']","['Yu Pin Chen 人家講A你講B邏輯死亡真可憐', 'Yu Pin Chen 還是妨害兵役罪偽造文書罪叫法務部長廢一廢？', 'Yu Pin Chen 破壞山林良田的也要公平報導']"
3,468,3_洪嘉隆_陳球球_虐童_may,"['洪嘉隆', '陳球球', '虐童', 'may', '拘提', '仆街人渣等天收', '終身監禁', '薛敬', 'yeh', '性侵']","['陳佳伶 請幫忙反對民眾黨立委黃國昌保護加害人權利的提案，立院民眾黨團擬修法，規定檢察官與法官未來不能以「擔心串供」為由羈押被告。這項草率提案，恐怕讓辦案檢察官自廢武功、難以追訴犯罪，法案一出，立刻引來法界齊聲反對。如果民眾黨立委的提案通過，剴剴案、台版N號房恐辦不下去，打詐也受阻。 —————————————— 撰文‧馬揚異 民眾黨立委正在醞釀的修法，未來可能導致如「剴剴虐童案」的關鍵證人被恐嚇噤聲，讓拍攝販售少女性影像的「台版N號房」共同主謀逍遙法外，更可能大幅削弱檢警打詐、掃毒的力道。 今年八月十九日，立法院民眾黨團提出的《刑事訴訟法》修正案，被排入院會審查；這部打著「司法改革」口號的草案一出，卻引發社會譁然。 依據《刑事訴訟法》第一○一條，現行針對嫌犯的羈押事由包含幾大項，若有事實足認被告有逃亡、湮滅、偽造證據或有勾串共犯或證人的疑慮，檢察官得以聲請羈押、由法官裁定，確保偵查與裁判順利進行。 民眾黨團主張修法將這項羈押事由刪除。一旦草案通過，對司法體系衝擊極大，草案送入院會兩天後，法務部與基層檢察官團體「劍青檢改」分別強烈表態反對修法，質疑修法恐淪為「犯罪者保護傘」。 台北地檢署檢察官蕭永昌指出，在偵辦集團組織型犯罪時，羈押防止被告勾串證是必要工具，沒道理直接廢除。根據《刑事訴訟法》，被告被逮捕拘提二十四小時內，檢察官須決定是否聲押；但實務上，檢方經常在啟動拘提到偵訊時，才進一步得知重要共犯或證人，很難在二十四小時內一併傳訊，若到案被告遭釋放，很可能在外串供。 譬如剴剴虐童案，羈押理由之一，就是被告曾經囑咐關鍵證人、外籍看護工Mira「不要亂說話」；至於被稱為「台版N號房」的SCP性影像社群案，則是因為檢方還在追查其他犯罪發起人，而被告過去負責管理群組發言，有串證的疑慮。 一項在討論階段就備受質疑，未來可能造成治安更惡化、犯罪更猖獗的草案，應該及時喊停。不顧法界疑慮和民意反彈，貿然強渡關山，只會造成更大的司法危機。', '坦白講政府早不抓晚不抓，現在抓閃兵役的藝人，只是為了掩蓋他們做的垃圾事。 林昶佐因為焦慮症判免役，還可以接任駐芬蘭代表？要不要先把他抓回來當兵？ 賴缺德宣示：力推小水電 淨零轉型2030年前將投9千億。請問9000億是9000元嗎？請問你是要把台灣未來4、8年的預算一口氣花光光是嗎？ 前立委陳歐珀涉財產不明公益侵占 不起訴確定 鄭文燦被收賄涉貪，起訴求刑12年。案件起訴以來，法官、審判長、受命法官，合議庭成員也全換過，請問是遇到自己人不敢辦是嗎？ 環境部長彭啟明今（17）親上火線掛保證，已經對烏山頭水庫的水質做過研究，並無任何異常物；另，即便是將光電板磨碎、浸泡水裡3個月，也不會對水質造成很大影響。請問光電板什麼時候要納入環評？ 國家要建「資料庫監控」了？問法源，國安局竟答不出來！而且還令基層上網蒐集罵政府貼文', '坦白講政府早不抓晚不抓，現在抓閃兵役的藝人，只是為了掩蓋他們做的垃圾事。 林昶佐因為焦慮症判免役，還可以接任駐芬蘭代表？要不要先把他抓回來當兵？ 賴缺德宣示：力推小水電 淨零轉型2030年前將投9千億。請問9000億是9000元嗎？請問你是要把台灣未來4、8年的預算一口氣花光光是嗎？ 前立委陳歐珀涉財產不明公益侵占 不起訴確定 鄭文燦被收賄涉貪，起訴求刑12年。案件起訴以來，法官、審判長、受命法官，合議庭成員也全換過，請問是遇到自己人不敢辦是嗎？ 環境部長彭啟明今（17）親上火線掛保證，已經對烏山頭水庫的水質做過研究，並無任何異常物；另，即便是將光電板磨碎、浸泡水裡3個月，也不會對水質造成很大影響。請問光電板什麼時候要納入環評？ 國家要建「資料庫監控」了？問法源，國安局竟答不出來！而且還令基層上網蒐集罵政府貼文']"
4,472,4_lee_apple_maggie_沒事啦,"['lee', 'apple', 'maggie', '沒事啦', 'zoey', 'morgan', 'jamie', '蘇敬堯', '一個中國', 'gomaze']","['中國大陸政府欺負善良的美國人還會亂抓善良的好人只因為政治因素去坐牢，商人先算啦，但是麻煩請代表公眾人物和形象的所有藝人明星如果要繼續在中國賺那種錢，請放棄綠色護照入籍中國拿紅色護照、很多中國人都被中國政府洗腦強烈支持什麼一個中國，中國禁止大批民眾翻牆，散播假消息給中國人民，讓很多中國人民莫名服從中共和習先生以及幫他說話，還說台灣跟美國的新聞都是假的，中國才最多假新聞好嗎！尤其牽涉政治，麻煩請這邊翻牆進入的中國網民看清楚，麻煩先請所有在中國大陸賺錢的藝人然後道歉什麼有的沒有的，只要敢去中國賺錢然後宣揚什麼愛中國愛得要死的包含什麼蕭敬騰和最嚴重的歐陽娜娜和王大陸、張鈞甯一大堆，全部他們拿的是綠色republic of China中華民國不是中華人民共和國，請他們有種全數放棄中華民國的國籍只能拿紅色護照通行中國，對了中國不允許雙重國籍，事實上台灣真的不屬於中國，沒有什麼一個中國這件事情，我上網查到相關知識台灣也不允許台灣人持有中華人民共和國等國籍，除了中國意外其他基本上都可以允許有雙重國籍不像中國一律禁止雙重國籍，在此鄭重澄清台灣實際上是真的不屬於中國法律什麼的完全不同護照拿的也不是同一本，中國大陸中共壞事做盡夠了沒！還有中國警察如果詐騙集團網路詐騙之類的詐騙的是台灣人中國大陸警察根本不處理判他們無罪不論金額大小，而且還會對人超兇只因為政治因素，習先生宣稱救人可是傷害無辜的東南亞詐騙親屬，還有中國一堆男人喜歡騷等和私底下風氣這麼黃色是這麼回事，假正派真可怕，難怪那麼多強姦性侵犯，中華人民共和國夠了沒！各種欺騙謊言而且都不是白色善意有道德或是適當必要的謊言，通通過當含過於自私，其實根本沒有台灣人打從心裡喜歡習先生和中國大陸政府什麼的，可以不可以不要這麼偽善，有沒有良心道德！可以不要再傷害無辜了嘛！中國的那些無辜百姓很可憐、其實我相信中國還是很多善良的好人，中華人民共和國連Selena Gomaze 和Tom Cruise 之類的西方明星不小心踩中共地雷他們就囂張釋放假消息讓人很不爽 欸，我說中國網民，台灣其實有不少雙重國籍或是甚至少數有三重國籍以上的台灣人好嗎？其實也通常是美國人，你貝恩可怕偽善的中國政府洗腦', '中國大陸政府欺負善良的美國人還會亂抓善良的好人只因為政治因素去坐牢，商人先算啦，但是麻煩請代表公眾人物和形象的所有藝人明星如果要繼續在中國賺那種錢，請放棄綠色護照入籍中國拿紅色護照、很多中國人都被中國政府洗腦強烈支持什麼一個中國，中國禁止大批民眾翻牆，散播假消息給中國人民，讓很多中國人民莫名服從中共和習先生以及幫他說話，還說台灣跟美國的新聞都是假的，中國才最多假新聞好嗎！尤其牽涉政治，麻煩請這邊翻牆進入的中國網民看清楚，麻煩先請所有在中國大陸賺錢的藝人然後道歉什麼有的沒有的，只要敢去中國賺錢然後宣揚什麼愛中國愛得要死的包含什麼蕭敬騰和最嚴重的歐陽娜娜和王大陸、張鈞甯一大堆，全部他們拿的是綠色republic of China中華民國不是中華人民共和國，請他們有種全數放棄中華民國的國籍只能拿紅色護照通行中國，對了中國不允許雙重國籍，事實上台灣真的不屬於中國，沒有什麼一個中國這件事情，我上網查到相關知識台灣也不允許台灣人持有中華人民共和國等國籍，除了中國意外其他基本上都可以允許有雙重國籍不像中國一律禁止雙重國籍，在此鄭重澄清台灣實際上是真的不屬於中國法律什麼的完全不同護照拿的也不是同一本，中國大陸中共壞事做盡夠了沒！還有中國警察如果詐騙集團網路詐騙之類的詐騙的是台灣人中國大陸警察根本不處理判他們無罪不論金額大小，而且還會對人超兇只因為政治因素，習先生宣稱救人可是傷害無辜的東南亞詐騙親屬，還有中國一堆男人喜歡騷等和私底下風氣這麼黃色是這麼回事，假正派真可怕，難怪那麼多強姦性侵犯，中華人民共和國夠了沒！各種欺騙謊言而且都不是白色善意有道德或是適當必要的謊言，通通過當含過於自私，其實根本沒有台灣人打從心裡喜歡習先生和中國大陸政府什麼的，可以不可以不要這麼偽善，有沒有良心道德！可以不要再傷害無辜了嘛！中國的那些無辜百姓很可憐、其實我相信中國還是很多善良的好人，中華人民共和國連Selena Gomaze 和Tom Cruise 之類的西方明星不小心踩中共地雷他們就囂張釋放假消息讓人很不爽', '中國大陸政府欺負善良的美國人還會亂抓善良的好人只因為政治因素去坐牢，商人先算啦，但是麻煩請代表公眾人物和形象的所有藝人明星如果要繼續在中國賺那種錢，請放棄綠色護照入籍中國拿紅色護照、很多中國人都被中國政府洗腦強烈支持什麼一個中國，中國禁止大批民眾翻牆，散播假消息給中國人民，讓很多中國人民莫名服從中共和習先生以及幫他說話，還說台灣跟美國的新聞都是假的，中國才最多假新聞好嗎！尤其牽涉政治，麻煩請這邊翻牆進入的中國網民看清楚，麻煩先請所有在中國大陸賺錢的藝人然後道歉什麼有的沒有的，只要敢去中國賺錢然後宣揚什麼愛中國愛得要死的包含什麼蕭敬騰和最嚴重的歐陽娜娜和王大陸、張鈞甯一大堆，全部他們拿的是綠色republic of China中華民國不是中華人民共和國，請他們有種全數放棄中華民國的國籍只能拿紅色護照通行中國，對了中國不允許雙重國籍，事實上台灣真的不屬於中國，沒有什麼一個中國這件事情，我上網查到相關知識台灣也不允許台灣人持有中華人民共和國等國籍，除了中國意外其他基本上都可以允許有雙重國籍不像中國一律禁止雙重國籍，在此鄭重澄清台灣實際上是真的不屬於中國法律什麼的完全不同護照拿的也不是同一本，中國大陸中共壞事做盡夠了沒！還有中國警察如果詐騙集團網路詐騙之類的詐騙的是台灣人中國大陸警察根本不處理判他們無罪不論金額大小，而且還會對人超兇只因為政治因素，習先生宣稱救人可是傷害無辜的東南亞詐騙親屬，還有中國一堆男人喜歡騷等和私底下風氣這麼黃色是這麼回事，假正派真可怕，難怪那麼多強姦性侵犯，中華人民共和國夠了沒！各種欺騙謊言而且都不是白色善意有道德或是適當必要的謊言，通通過當含過於自私，其實根本沒有台灣人打從心裡喜歡習先生和中國大陸政府什麼的，可以不可以不要這麼偽善，有沒有良心道德！可以不要再傷害無辜了嘛！中國的那些無辜百姓很可憐、其實我相信中國還是很多善良的好人，中華人民共和國連Selena Gomaze 和Tom Cruise 之類的西方明星不小心踩中共地雷他們就囂張釋放假消息讓人很不爽']"
5,374,5_書偉加油_我們都在_加油_我們一直都在,"['書偉加油', '我們都在', '加油', '我們一直都在', '書偉', '加油加油', '永遠支持你', 'energy', '永遠支持', '永遠不說再見']","['加油 我們都在', '加油 我們都在', '加油 我們都在']"
6,269,6_退出演藝圈_林佳玉_退出演藝圈吧_謝謝所有您們體貼幫助謝謝,"['退出演藝圈', '林佳玉', '退出演藝圈吧', '謝謝所有您們體貼幫助謝謝', '沒資格當藝人', '這種品德', '加油吧', '沒關係', '丟臉', '丟臉至極']","['退出演藝圈', '退出演藝圈', '退出演藝圈！']"
7,268,7_知錯能改_加油_勇於認錯_善莫大焉,"['知錯能改', '加油', '勇於認錯', '善莫大焉', '知錯能改善莫大焉', '人都會犯錯', 'tzutzu', 'hsiao', 'lang', 'betty']","['書偉加油 我們都在，知錯能改', '知錯能改、善莫大焉', '加油，知錯能改，善莫大焉！']"
8,230,8_00_前金肉燥飯_4週_靠老爸有錢了不起,"['00', '前金肉燥飯', '4週', '靠老爸有錢了不起', '屁股洗干淨', '66小吃', '好吃', '等著吃勞飯吧', '胡記臭豆腐', '零九']","['靠老爸有錢了不起，屁股洗干淨，等著吃勞飯吧！', '靠老爸有錢了不起，屁股洗干淨，等著吃勞飯吧！', '靠老爸有錢了不起，屁股洗干淨，等著吃勞飯吧！']"
