Topic,Count,Name,Representation,Representative_Docs
-1,91,-1_荒謬的選擇_謝謝檢警讓我面對年少時候做出很取巧_不愧是和勝利在夜店玩在一起的男人_閃兵被抓還能嘻嘻哈哈不當一回事,"['荒謬的選擇', '謝謝檢警讓我面對年少時候做出很取巧', '不愧是和勝利在夜店玩在一起的男人', '閃兵被抓還能嘻嘻哈哈不當一回事', '有人說這句話很浪漫', '浪漫個鬼', '昨天陳柏霖交保出來的時候說', '作者', '22', '2025']","['昨天陳柏霖交保出來的時候說：「謝謝檢警讓我面對年少時候做出很取巧、荒謬的選擇。」 有人說這句話很浪漫（蛤？） 浪漫個鬼？閃兵被抓還能嘻嘻哈哈不當一回事，不愧是和勝利在夜店玩在一起的男人。  1 /', '· 作者 陳柏霖是勝利的朋友 \U0001fae9 applepiehouse 2025-10-22 昨天陳柏霖交保出來的時候說：「謝謝檢警讓我面對年少時候做出很取巧、荒謬的選擇。」 有人說這句話很浪漫（蛤？） 浪漫個鬼？閃兵被抓還能嘻嘻哈哈不當一回事，不愧是和勝利在夜店玩在一起的男人。  1 /', '· 作者 陳柏霖是勝利的朋友 \U0001fae9 applepiehouse 2025-10-22 昨天陳柏霖交保出來的時候說：「謝謝檢警讓我面對年少時候做出很取巧、荒謬的選擇。」 有人說這句話很浪漫（蛤？） 浪漫個鬼？閃兵被抓還能嘻嘻哈哈不當一回事，不愧是和勝利在夜店玩在一起的男人。  1 /']"
0,96,0_net_ettoday_news_star,"['net', 'ettoday', 'news', 'star', '坤達', '玩很大', '不敢奢求原諒', '快訊', '翻譯', '一落地檢警直接拘提']","['【裝高血壓閃兵！修杰楷、坤達、陳柏霖、書偉、小杰遭「求刑2年8月」】 ettoday.net/news…  1 / 2 837 91 2 329 熱門 查看動態', '今天起訴12人！ ettoday.net/news…  2 / 2 ettoday.net 裝高血壓閃兵！修杰楷、坤達、陳柏霖、書偉、小杰遭「求刑2年8月」 | ETtoday社會新聞 | ETtoday新聞雲', 'star.ettoday.net/news…  2 / 2 star.ettoday.net 快訊／坤達認了閃兵：不敢奢求原諒\u3000緊急取消《玩很大》錄影趕回台灣 | ETtoday星光雲 | ETtoday新聞雲']"
1,40,1_其實早800年前就可以主動站出來面對_他會好好面對_套句網友說的_在警方說明拘提案由時,"['其實早800年前就可以主動站出來面對', '他會好好面對', '套句網友說的', '在警方說明拘提案由時', '偏偏要等到被抓才要承認', '你要自首', '就是偽造文書和逃避兵役', '就可以出來了', '早知有這一天', '早該第一波']","['唉😮\u200d💨 真的⋯⋯  套句網友說的：就是偽造文書和逃避兵役。 他會好好面對 是檢警都要拘提了 當然要面對 你要自首 早該第一波 就可以出來了 還在得過且過……', '唉😮\u200d💨 真的⋯⋯  套句網友說的：就是偽造文書和逃避兵役。 他會好好面對 是檢警都要拘提了 當然要面對 你要自首 早該第一波 就可以出來了 還在得過且過……', '可能家父在金門服役快3年 這期間兩岸依然在交火 同梯的有不少被隔壁的水鬼處理掉 他也在站哨時都遇到幾次水鬼 沒被幹掉而已 他自己都說 金門三年還有辦法回來真的是撿回一條命 真的冒著生命危險在保護國人 他當時也沒結婚 但他的思想我覺得沒錯呀 如果「前線的他」都「守不住」「金門」 後方的台灣同胞該怎麼辦 兄長本來就都有在參加三鐵體能算很好了 他也覺得吃不消 海軍2年，他幾乎都是在軍艦上訓練 模擬作戰 訓練不是最難熬的，前面半年適應不了暈船的問題，每天暈到吐在體能體不適的情況下還是得訓練呀，三餐下水叫家常便飯 期間也遇過不少隔壁的軍艦船隻繞台進入我國海域，每次遇到就都要備勤隨時準備作戰 他確實也感受到什麼叫作武力威脅國家的壓迫感 身邊的男性友人（外科主治醫師居多） 他們當兵還會卡到選科別職缺升遷的問題 都是乖乖去當兵 真的要逃 （我想他們應該是最有資源可以偽造逃役的人吧） 都是義務役 每個當兵都唉唉叫 再問他們一次可以選你還要當嗎？ 清一色都說還是要當 心裡素質跟抗壓性責任感完全不一樣 只是年限有點長倒是真的 相比之下 他們也不平衡呀，誰的誰間不是時間']"
2,36,2_他們早就被通知自首了_這波閃兵的男藝人們完全不值得同情_道歉_修杰楷和賈靜雯還沒針對造謠,"['他們早就被通知自首了', '這波閃兵的男藝人們完全不值得同情', '道歉', '修杰楷和賈靜雯還沒針對造謠', '坤達長年把氣胸當成沒當兵的藉口', '孩子目睹爸爸上銬', '沒有一個敢把閃兵牽線人抖出來', '都說事隔多年忘記了', '沒人自首', '為什麼要欺騙粉絲和大眾']","['這波閃兵的男藝人們完全不值得同情： 1. 他們早就被通知自首了，沒人自首。 2. 沒有一個敢把閃兵牽線人抖出來，都說事隔多年忘記了。 3. 坤達長年把氣胸當成沒當兵的藉口，為什麼要欺騙粉絲和大眾？ 4. 修杰楷和賈靜雯還沒針對造謠「孩子目睹爸爸上銬」道歉。  1 / 2 1.3 萬', '這波閃兵的男藝人們完全不值得同情： 1. 他們早就被通知自首了，沒人自首。 2. 沒有一個敢把閃兵牽線人抖出來，都說事隔多年忘記了。 3. 坤達長年把氣胸當成沒當兵的藉口，為什麼要欺騙粉絲和大眾？ 4. 修杰楷和賈靜雯還沒針對造謠「孩子目睹爸爸上銬」道歉。  1 / 2 1.3 萬 267 619 255 熱門 查看動態', '這波閃兵的男藝人們完全不值得同情： 1. 他們早就被通知自首了，沒人自首。 2. 沒有一個敢把閃兵牽線人抖出來，都說事隔多年忘記了。 3. 坤達長年把氣胸當成沒當兵的藉口，為什麼要欺騙粉絲和大眾？ 4. 修杰楷和賈靜雯還沒針對造謠「孩子目睹爸爸上銬」道歉。  1 / 2 1.3 萬 267 619 255 熱門 查看動態']"
3,31,3_閃兵集團_15萬_但是王大陸閃兵卻要360萬呢_因為這個案子一開始就是王大陸自己去報案的,"['閃兵集團', '15萬', '但是王大陸閃兵卻要360萬呢', '因為這個案子一開始就是王大陸自己去報案的', '張書偉', '為什麼別人閃兵只要10', '花了10萬讓', '王大陸真的很神奇', '本頻道就已經全面追蹤過王大陸尋奇', '拔出蘿蔔帶出泥']","['藝人閃兵風波延燒，起源是王大陸日前爆出以360萬元取得免役資格，成為檢警偵辦「閃兵集團」的關鍵人物。事件延燒至今，隨著修杰楷、陳柏霖、Energy書偉（張書偉）及坤達陸續被拘提到案，整起風暴震撼演藝圈。對此，財經網紅胡采蘋在社群發文揭露事件始末，直指這場風波其實是王大陸「自投羅網」，一手把自己送進案情漩渦之中。 setnsocial.pse.is/89q3g…  2 / 2 star.setn.com 藝人閃兵抓不完！她曝光驚人內幕「王大陸自己耍笨」意外扯出15男星 | 娛樂星聞', '為什麼別人閃兵只要10-15萬，但是王大陸閃兵卻要360萬呢？因為風雨千年路，江山萬里心，歡迎收看大陸尋奇，王大陸真的很神奇。 在今年三月份王大陸爆出閃兵案的時候，本頻道就已經全面追蹤過王大陸尋奇，整個連環案外案其實都是王大陸自己耍笨，拔出蘿蔔帶出泥，因為這個案子一開始就是王大陸自己去報案的。', '快被王大陸笑死 比Netflix 還精彩 emmy_on_earth 2025-10-22 為什麼別人閃兵只要10-15萬，但是王大陸閃兵卻要360萬呢？因為風雨千年路，江山萬里心，歡迎收看大陸尋奇，王大陸真的很神奇。 在今年三月份王大陸爆出閃兵案的時候，本頻道就已經全面追蹤過王大陸尋奇，整個連環案外案其實都是王大陸自己耍笨，拔出蘿蔔帶出泥，因為這個案子一開始就是王大陸自己去報案的。']"
4,21,4_他以為自己還在拍偶像劇嗎_竟然還能笑著講說釋然_好歹也該裝做有在懺悔的樣子吧_校內大多同期學生都很吃驚,"['他以為自己還在拍偶像劇嗎', '竟然還能笑著講說釋然', '好歹也該裝做有在懺悔的樣子吧', '校內大多同期學生都很吃驚', '我是不懂陳柏霖怎麼還能嘻皮笑臉出來講話', '陳柏霖最扯吧', '不意外', '他並沒有第一時間就認錯喔', '不愧是藝人每個都很會演', '他講的那句話']","['沒有，他並沒有第一時間就認錯喔，再來有媒體會報，是因為他是藝人，跟放不放大沒關係，本來就是賺公眾財的人，相挺可以，還是請妳理性一點。', '陳柏霖最扯吧！竟然還能笑著講說釋然，他以為自己還在拍偶像劇嗎？', '陳柏霖最扯吧！竟然還能笑著講說釋然，他以為自己還在拍偶像劇嗎？']"
5,19,5_對此深感自責_本公司所屬藝人謝坤達_辜負社會大眾及粉絲的期望_坤達承認閃兵了,"['對此深感自責', '本公司所屬藝人謝坤達', '辜負社會大眾及粉絲的期望', '坤達承認閃兵了', '提前返台', '將取消工作', '年前未能深思熟慮', '經紀公司', 'cna', '體認社會責任而錯誤申請免役']","['· 作者 我還在等坤達粉絲和我道歉，等不到 🥹 applepiehouse 2025-10-21 坤達承認閃兵了 🤓 經紀公司：「本公司所屬藝人謝坤達，15 年前未能深思熟慮、體認社會責任而錯誤申請免役，辜負社會大眾及粉絲的期望，對此深感自責。將取消工作，提前返台。」 有人可以幫忙解釋一下什麼叫錯誤申請免役嗎？  1 /', '坤達承認閃兵了 🤓 經紀公司：「本公司所屬藝人謝坤達，15 年前未能深思熟慮、體認社會責任而錯誤申請免役，辜負社會大眾及粉絲的期望，對此深感自責。將取消工作，提前返台。」 有人可以幫忙解釋一下什麼叫錯誤申請免役嗎？  1 / 2 872 48 18 113 熱門 查看動態', '坤達承認閃兵了 🤓 經紀公司：「本公司所屬藝人謝坤達，15 年前未能深思熟慮、體認社會責任而錯誤申請免役，辜負社會大眾及粉絲的期望，對此深感自責。將取消工作，提前返台。」 有人可以幫忙解釋一下什麼叫錯誤申請免役嗎？  1 /']"
6,18,6_高血壓_他是用假資料_五月被通知_但還不達免役,"['高血壓', '他是用假資料', '五月被通知', '但還不達免役', '修杰楷達不到免役', '我覺得是最過分的兩個', '迷妹瞎護航也就算了', '還要叫賈靜雯懷孕好用家有幼兒提早離席', '護航的八成自己也逃兵', '這群人']","['謝坤達跟修杰楷，我覺得是最過分的兩個。 謝的確氣胸過，有引流手術，但還不達免役。他是用假資料（高血壓）申請免疫，然後對外宣稱氣胸免役，騙國家又騙社會大眾。 修杰楷達不到免役，用高血壓拿到替代役，還要叫賈靜雯懷孕好用家有幼兒提早離席。 這群人，五月被通知，十月被上銬才說會反省。有一些帳號很奇怪，都幾第幾天了還在糾結藝人被上銬。迷妹瞎護航也就算了，一堆看起來是男的帳號也在護航。 我就問，哪個正常服役的看他們被抓會心疼的？ 護航的八成自己也逃兵，怕自己被上銬吧！ 要新增最可惡第三：陳柏霖 用高血壓逃兵，對外說氣喘 2,010 8 43 43 熱門 查看動態', '謝坤達跟修杰楷，我覺得是最過分的兩個。 謝的確氣胸過，有引流手術，但還不達免役。他是用假資料（高血壓）申請免疫，然後對外宣稱氣胸免役，騙國家又騙社會大眾。 修杰楷達不到免役，用高血壓拿到替代役，還要叫賈靜雯懷孕好用家有幼兒提早離席。 這群人，五月被通知，十月被上銬才說會反省。有一些帳號很奇怪，都幾第幾天了還在糾結藝人被上銬。迷妹瞎護航也就算了，一堆看起來是男的帳號也在護航。 我就問，哪個正常服役的看他們被抓會心疼的？ 護航的八成自己也逃兵，怕自己被上銬吧！ 要新增最可惡第三：陳柏霖 用高血壓逃兵，對外說氣喘', '謝坤達跟修杰楷，我覺得是最過分的兩個。 謝的確氣胸過，有引流手術，但還不達免役。他是用假資料（高血壓）申請免疫，然後對外宣稱氣胸免役，騙國家又騙社會大眾。 修杰楷達不到免役，用高血壓拿到替代役，還要叫賈靜雯懷孕好用家有幼兒提早離席。 這群人，五月被通知，十月被上銬才說會反省。有一些帳號很奇怪，都幾第幾天了還在糾結藝人被上銬。迷妹瞎護航也就算了，一堆看起來是男的帳號也在護航。 我就問，哪個正常服役的看他們被抓會心疼的？ 護航的八成自己也逃兵，怕自己被上銬吧！ 要新增最可惡第三：陳柏霖 用高血壓逃兵，對外說氣喘']"
7,15,7_每個人都會犯錯_作者_一切交給命運吧_不能因為一件事就全盤否定一個人,"['每個人都會犯錯', '作者', '一切交給命運吧', '不能因為一件事就全盤否定一個人', '不要一個人有功', '不要故意講成犯錯', '並且還', '人也會有自私', '人們偏向於鼓勵', '人性的光明面']","['· 作者 我今天的心情很複雜，當你看到你的偶像的手用布蓋住的時候，真的會問自己到底發生什麼了，一切虛幻的不可思議，但是你要為了偶像泯滅自己的道德底線，告訴所有人這又沒什麼，還是堅持自己的原則，他們就是錯了，全都在自己', '· 作者 你是一個理性的粉絲，當年的確是做了錯事，見到這麼多人被揭發，或許真的也跨不出承認的那一步，害怕好不容易重組的未來就此打散，至少在被揭發的時候馬上承認，可能他們沒有主動的勇氣，但或許不知道何時穿幫的壓力也壓在他們心頭太久了，好好面對並承擔錯誤，一切交給命運吧，每個人都要為自己的錯誤選擇付出代價', '你說的那個世界，其實挺美好的，每個人都對自己的道德標準，採取最高規格的管理自己，你要不要出來￼選總統，從政？￼￼￼￼把你腦子裡面的完美烏托邦，￼在台灣真正讓它發生？￼我說真的，我不是批評你，我是認真的喜歡你所描述的那完美世界，我也希望我未來的孩子，可以活在那個世界￼ 人們偏向於鼓勵￼人性的光明面，誰都愛一個正面，樂觀，陽光，￼積極，負責的人，￼￼但偏偏人就不只是只有光明面，￼￼人也會有自私，貪心，慾望，心存僥倖，說謊的陰暗面，如果面對陰暗面只是一昧的打壓，￼並且還￼粗魯的貼上這個人就是陰暗的人，過去的那些光明表現全都是假的，那麼我覺得這個社會將會變得非常扭曲。 ￼￼做個中性的人，有彈性的去調整自己的話語權，不要一個人有功，￼我們就造神將他捧上天，或是一個人犯錯或犯￼輕罪，￼我們就急著將其推到萬丈深淵￼，一個進步的民主社會，本來就具備允許人們犯錯的包容度（￼我指的不是殺人，強姦那種￼罪大惡極）']"
8,13,8_作者_你知道的太多了_你可以選擇滑過_你是很懂粉絲了,"['作者', '你知道的太多了', '你可以選擇滑過', '你是很懂粉絲了', '你說太好了', '接下來工作停擺是正常的程序', '我們不盲目追星', '應該很難', '您說的在理沒錯', '很感謝您的發言都不會攻擊到他人']","['· 作者 我們不盲目追星🤣 因為我長大了', '· 作者 您說的在理沒錯～ 很感謝您的發言都不會攻擊到他人 個人因達哥二十幾年來的正面形象 功過相抵 還是願意給他再次支持的機會', '· 作者 😞😞']"
