Topic,Count,Name,Representation,Representative_Docs
-1,43,-1_kora_一點禮貌都沒的人趕快下去_不如直接大方說免役_不就原住民臉,"['kora', '一點禮貌都沒的人趕快下去', '不如直接大方說免役', '不就原住民臉', '不就沒在關注這個圈子而已嗎', '不懂自己不認識有什麼好講出來的', '不是藝能界的公開秘密', '不過這是羅志祥出事以前的說法', '也就是說其他比這幾個還小咖嗎', '五堅情最沒料九蕊咪']","['A：請問你什麼兵種？ B：閃兵 A：很厲害啊，傘兵耶！ B：對啊，我是傘兵', '嚇死 活在實況圈 看到小熊想說 我家熊姊怎麼出事了 但想想是男的當兵 補兌！熊姊也是男的🧐🧐', '從以前就很不喜歡陳零九 唱歌作曲沒實力 連綜藝都不討喜(邱鋒澤很努力想梗大家應該看得出來吧 反觀陳零九) 整天擺那張臉 玩遊戲也在那邊擺臉色 拿職業倦怠開脫 有一次是采子還在的遊戲局 他就催促某個藝人快點講完話趕快下班 我真的 = =']"
0,58,0_14日被移送新北地檢署複訊_上次私訊問他東西_不奇怪_不想看到他,"['14日被移送新北地檢署複訊', '上次私訊問他東西', '不奇怪', '不想看到他', '不是只有吃', '不知道陳為什麼要逃', '不過也不是他自己多有才能', '不過大家也都是在馬後炮吧', '並表示這樣的行為不僅違反法律', '並願意承擔法律責任']","['陳零九被爆出因花費約30多萬元佯裝有「高血壓」，進而取得免役，14日被移送新北地檢署複訊，以30萬元交保。他今天發出道歉聲明，坦承自己六年前曾作出逃避兵役的錯誤決定，並表示這樣的行為不僅違反法律，也違背了作為公民應盡的社會義務，強調自己完全接受相關調查，並願意承擔法律責任，也決定要放下藝人身份，中止九澤CP、五堅情演藝工作反省自己。', '之前還蠻喜歡他的（狼人殺的時候） 還有他感覺很熱愛唱歌 （年輕的時候因為不能出片邊走邊哭） 那時候還覺得他很單純， 是喜歡唱歌、創作想成為藝人。  後來玩狼人殺玩到飄了， 對待節目也不太認真， 主持感覺也還好，感受不出熱情， 看遊戲節目的表現，感覺是利益至上， 虛擬貨幣…種種表現， 也不過是熱愛賺錢的商人罷了。  遲早變成下一個大頭症的羅， 還是回到以前邊走邊哭的時候比較單純。', '關於他的藝人生涯 最無言的是他說不會主持 然後那時候還去接時尚玩家 結果都靠小賴在講 他在旁邊吃東西 == 都叫主持了 應該是要邊吃邊講 不是只有吃 還有比起其他藝人 他一紅起來 就馬上開了好幾個副業 但也不是只當通告藝人 而是一次接好幾個節目 也同時在開演唱會那些 卻開了飲料店(然後被說不好喝)玩具店 潮牌 陳零九也是比較早開始弄NFT那些的一批藝人 當然後來被講割韭菜 還有後來的NFT虛擬貨幣那些 幾年前就說玩遊戲玩很累不想玩 節目上滑手機 真的很無言= = 感覺真的滿勢利的']"
1,48,1_幹嘛不當兵_care_10年前要網友對幫他按讚幫他出唱片時也不紅_一堆人在討論當兵事情,"['幹嘛不當兵', 'care', '10年前要網友對幫他按讚幫他出唱片時也不紅', '一堆人在討論當兵事情', '一次的bmi測量就可以終身不用當兵', '一般民眾逃兵役就查很嚴', 'don', '不喜歡的i', '不夠富還不值得', '不會耶']","['沈哲芳表示，會持續和國防部與各醫學學會討論，讓複檢程序加強役男身分認定驗證，並制定更完整的SOP，讓兵役體檢、複檢作業過程更嚴謹也更公平。   講幹話，女生不用當義務役兵役就是對所有被國家強制迫害入伍的男性來說最大的不公平啦', '當兵就很破啊，能逃幹嘛不逃，純坐牢，打仗也打不贏，純送人頭，這年頭誰還在原地突刺？高官也不會想要自己的小孩去當兵，都嘛脊椎炎，你那麼氣幹嘛不簽下去，你感覺很想領終身俸欸，烙格。', ""雖然說這事違法 但想想藝人的年薪和職涯風險 當兵真的機會成本有夠高欸 就跟逃稅一樣 越富越要逃 不夠富還不值得 藝人逃的多是因為他們要付出的代價比普通人大 大到值得冒這險吧 只能說知道不對 但可以理解 我個人是不太在意 喜歡的還是會喜歡 不喜歡的I don't care😂""]"
2,46,2_正常冰_就正常的啊_不知道是學杰倫哪一點_2個字,"['正常冰', '就正常的啊', '不知道是學杰倫哪一點', '2個字', '但做詞沒特色', '你對大咖的定義是什麼', '你少說一個賣nft收割韭菜', '什麼事都有陳09', '09', '偶像周杰倫']","['有當的：有啊就是怎樣怎樣 沒當的：就正常的啊🤣（尬）', '真的 偶像周杰倫 但做詞沒特色 幾乎同一調調 不知道是學杰倫哪一點', '現代藝人本來就沒有甚麼好崇拜的 身後都是有經濟背景或黑x背景才紅的 才有一堆吸毒性關係複雜的事情爆出來  還是喜歡上一年代的藝人 注重名聲 潔身自愛 做很多孩子的好榜樣']"
3,29,3_可悲可憐_一堆人根本無感_一直蓋新聞_一堆犯罪藝人,"['可悲可憐', '一堆人根本無感', '一直蓋新聞', '一堆犯罪藝人', '不代表整個台灣娛樂圈最大咖的是他', '不是演藝圈沒救', '不管多大咖該當兵的都會去當', '一般百姓也在閃', '不要偷渡概念', '也都是拖到不能再拖才去當兵']","['真的超可憐欸～台灣演藝圈 一堆犯罪藝人 市場也沒比日韓大、這些咖也都沒什麼名氣 人家車銀優都要去當兵了 這些蝦藝人憑什麼逃啊😅🤣', '台灣的兵役本來就是個笑話，在韓國逃兵可能直接社死GG，台灣連社會觀感不佳都還不一定，一堆人根本無感，只是網路上被酸民在風頭上罵一罵而已，事情過了根本完全沒差，所以藝人會想逃兵一點也不意外，大不了就被抓到、沒被發現就賺到', '等你出道來挽救台灣演藝圈啊！政大哥？ 台灣真的沒人了，你還不趕快回歸祖國，這樣追星也方便啊！ 說真的，這傢伙是誰我也沒聽過 真的紅應該是周杰倫那種人盡皆知的 你拿一個名不見經傳的一竿子打翻台灣演藝圈 請問你的演藝生涯有多巔峰呢？ 你這麼紅還用校名發文，台灣演藝圈真的因你而廢。']"
4,21,4_藝人逃兵的新聞到底是想要掩蓋掉哪個新聞呢_原文網址_一定就會有別的報出來轉移一下討論的熱度_一起抓啊,"['藝人逃兵的新聞到底是想要掩蓋掉哪個新聞呢', '原文網址', '一定就會有別的報出來轉移一下討論的熱度', '一起抓啊', '不是通知他們到案說明就好嗎', '09怎麼那麼常上社會新聞', '不然就是民進黨最會的做做樣子', '人家紅那麼久了', '先前都是奇怪的重大新聞出現時藝人才爆炸', '參與419']","['人家紅那麼久了，為什麼這條最近才報出來，因為如果不報那麼多人出來怎麼轉移話題，最近不利司法跟政府的太多，要報一些轉移一下熱度的。  這幾年來如果對政府不利的事情一多喔，一定就會有別的報出來轉移一下討論的熱度。', '藝人逃兵的新聞到底是想要掩蓋掉哪個新聞呢？ (原文網址:', '藝人逃兵的新聞到底是想要掩蓋掉哪個新聞呢？ (原文網址:']"
5,15,5_palette_他會紅應該是從娛樂百分百的狼人殺開始紅的吧_以前狼人殺剛紅的時候很喜歡_但至今仍覺得小7炫到底是不是介入09跟他前女友的小3,"['palette', '他會紅應該是從娛樂百分百的狼人殺開始紅的吧', '以前狼人殺剛紅的時候很喜歡', '但至今仍覺得小7炫到底是不是介入09跟他前女友的小3', '可不可愛', '因為算是會唱歌', '好多玩狼人殺的', '威廉都39還說自己主動面對', '有夠飄', '本來覺得他還不錯']","['因為算是會唱歌（見仁見智） 狼人殺玩的好就紅起來的  但至今仍覺得小7炫到底是不是介入09跟他前女友的小3', '好多玩狼人殺的。 補充一下：陳大天之前幫荳荳寫過歌《可不可愛》，結果抄襲IU的《palette》', '本來覺得他還不錯 看了狼人殺 邏輯清楚聰明 結果把自己越搞越臭 還沒大紅就負面新聞一堆 真的是下去不用上岸了']"
6,14,6_google_不可以讓醉飯以記憶有問題逍遙法外_不是不喜歡了_不知紅什麼,"['google', '不可以讓醉飯以記憶有問題逍遙法外', '不是不喜歡了', '不知紅什麼', '丟臉的感覺為什麼被我說是共鳴', '主持也放不開', '之前還有虛擬貨幣的事情', '也不知道到底哪裡好', '也就是有共鳴現象的', '但人家就是有實力繼續唱歌阿']","['就可悲迷妹喜歡，也不知道到底哪裡好，說喜歡其他人還情有可原，陳零九一堆破事惹上身還有迷妹愛', '我原本是五堅情跟鋒澤粉絲 現在轉路人 不是不喜歡了 只是現在比較忙心態也有點佛系 偶爾會關注而已 有演唱會簽唱會還是會參加 前提是票有搶到這樣 真的是對09很失望 負面新聞太多了', '丟臉的感覺為什麼被我說是共鳴？ 比如說沒嫖過妓， 再怎樣在我面前來數落演藝人員， 我還是沒啥感覺。  這種感覺可以一層一層查下去， 到底共鳴在哪？ 你會發現宇宙最重要秘密之一， 「每個人都有罪」 聖經講的， 無論在道德或法律上。  聖經有講過有討論過， 誰可以丟石頭的故事： 這無非在強調， 我所講過的話 - 也就是有共鳴現象的， 已不大適合批評別人。  在 Google 地圖上查看我的即時位置資訊：']"
7,12,7_以前一開始還好_五堅情真的不知道被陳零九害幾次了_不要出來討補助救演藝圈了_上面的人也是馬後炮,"['以前一開始還好', '五堅情真的不知道被陳零九害幾次了', '不要出來討補助救演藝圈了', '上面的人也是馬後炮', '一定覺得真tm雖小', 'lollipop這6人竟然幾乎都沒當過兵', '個人感覺作品也沒有剛開始不紅的時候優秀', '其他4人都沒什麼大黑料', '果然還是沒辦大咖', '有沒有想過更大咖的根本不會被抓']","['五堅情真的不知道被陳零九害幾次了 其他4人都沒什麼大黑料 一定覺得真TM雖小', '以前一開始還好，後面不知道怎麼了，個人感覺作品也沒有剛開始不紅的時候優秀..', '這是好事吧 表示更大咖的沒有逃 呃 雖然可能是沒抓到']"
8,8,8_不知道在秋三小_不知道在紅什麼_單依純毛不易怎了_但長相真的記不住,"['不知道在秋三小', '不知道在紅什麼', '單依純毛不易怎了', '但長相真的記不住', '他們逃什麼', '他們又沒很紅', '少寫一個', '很紅嗎', '我們光漢都還乖乖服役', '是不是和原來長期交往的分了']","['許光漢比他們紅 粉絲比他們多  都沒逃了 他們逃什麼', '不知道在紅什麼 然後超秋 不知道在秋三小 有夠噁心的人', '他們又沒很紅 逃什麼🧊啊 消失一年也不會有人記得😉 我們光漢都還乖乖服役 這群🤡男到底在想什麼']"
