Topic,Count,Name,Representation,Representative_Docs
-1,158,-1_查看動態_熱門_他沒事_大陸尋奇,"['查看動態', '熱門', '他沒事', '大陸尋奇', '10', '22', '作者', '王大陸', '大陸會創群組把你找出來', '億萬富豪爸寶為逃兵閃兵偽造文書勾結黑道']","['看達哥很多年了 我會繼續支持他 阿對我就腦殘粉 也是因為長年看他如何待人我們才肯當腦殘粉 這麼全方位待人優秀的藝人一定要繼續出現 今天大家會出來幫他講話的原因 主要是大眾對司法的信任度已經降到冰點 貪污的 詐騙的 廢死的 性侵的 政治迫害的 只要有錢有勢有關係 哪個不是活得很滋潤？ 我一直覺得 如果今天放在一個天秤要依損害程度比重辦理 麻煩一也大力整治一下那些真正對國家有巨大傷害的 讓我們見識一下魄力呀 達哥承認自己年輕時犯的錯  也願意接受後果 終究屬於他個人的問題 該被處罰也是沒問題 不過 他幫軍警拍過木曜的形象宣傳 再怎麼說都比我這個無名小兵要對國家有貢獻得多 值得再給他一次機會👍 1,029 145 2 21 熱門 查看動態', '我從來沒有一次寫劇本時笑到不支倒地根本寫不下去、錄影時笑場笑到導演喊卡很多次，結果錄了一整天的，王大陸真的台灣的寶藏，大陸的傳奇，歡迎收看大陸尋奇。 這個影片上線時，我們因為報導輝達晶片走私案而被中國網軍檢舉降流，真的非常可惜，我從來沒寫過這麼好笑的劇本啊啊啊啊啊 大陸尋奇！【王大陸黑歷史大平台～】親中舔共出事秒變台灣藝人！億萬富豪爸寶為逃兵閃兵偽造文書勾結黑道，私通警界教唆S人潛規則舌吻人妻？不會開特斯拉車門卻會放高利貸？太笨讓富二代打手黑幫團滅國際政經188 youtu.be/wh8tH…  3 / 3 youtube.com 大陸尋奇！【王大陸黑歷史大平台～】親中舔共出事秒變台灣藝人！億萬富豪爸寶為逃兵閃兵偽造文書勾結黑道，私通警界教唆S人潛規則舌吻人妻？不會開特斯拉車門卻會放高利貸？太笨讓', '閃兵案我最難過的就是坤達 因為當年我可是energy派的（？ 本命就是阿弟跟坤達 木曜這個系列節目是我經常推薦學生去看的 雖然是節目 但還是提到許多我們上課沒時間講的內容 閃兵案已經不是第一波發動 但不知道為什麼 這波發動大家突然接受度又變高了？ 我承認性侵犯、詐欺犯一樣可惡 那逃兵不是也一樣犯法嗎？ 看到有粉絲用坤達的顏值、人品來護航 希望大家善良一點，我覺得蠻難過的 顏值、人民在法律上都不能作為減刑事由 不然長得醜的是要加重其刑嗎？ 還有自首跟投案是不一樣的 已知被告、犯罪事實，這個叫做投案 必須要是偵查機關完全都不知道被告、犯罪事實為何 這時候你跑出來說，我承認，這樣才有適用自首的可能 —— 換個角度想 坤達應該比較知道偵查庭複訊要怎麼進行 可惜這次你要坐底下被告席 新北檢的電腦螢幕不同步 書記官打字不會同時顯示在螢幕上 所以筆錄做完看仔細以後再簽名 確認問題是不是都有記載到 唉，好難過🥺  1 / 3 976 99 14 55 熱門 查看動態']"
0,50,0_兩個成員閃兵被抓怎麼還好意思開演唱會啊_他們早就知道了_如果我是王我也會全部爆破_它就像是飼料袋的線頭,"['兩個成員閃兵被抓怎麼還好意思開演唱會啊', '他們早就知道了', '如果我是王我也會全部爆破', '它就像是飼料袋的線頭', '國中王是線頭沒錯', '只要輕輕一拉', '最強的身體', '我不行了哈哈哈哈', '明年小巨蛋演唱會如期舉辦', '沒錯']","['國中王是線頭沒錯，它就像是飼料袋的線頭，只要輕輕一拉，整串一起拉起來。', '國中王是線頭沒錯，它就像是飼料袋的線頭，只要輕輕一拉，整串一起拉起來。', '他還能去參加最強的身體的節目 裡面項目都蠻高強度ㄉ  youtu.be/iNed… youtube.com 【完整版】《最強的身體》EP01 強者站出來！首場賽事熱血開戰🔥誰是超速組合？誰淚流賽場？喊聲喊起來！最強的身體黑馬是誰？#好看娛樂 #最強的身體']"
1,48,1_一定牽扯到了什麼_不要再聽你的藉口_壞事做不得_可能講出牽線人會性命不保,"['一定牽扯到了什麼', '不要再聽你的藉口', '壞事做不得', '可能講出牽線人會性命不保', '再然後都忘記當初的牽線人', '壞事一等一', '才沒人敢講', '我猜測', '很怪的事是他們全都寧願被拘提', '承認當初為什麼偽造']","['很怪的事是他們全都寧願被拘提，然後才承認當初的錯誤，承認當初為什麼偽造，再然後都忘記當初的牽線人？ 一定牽扯到了什麼，整個影視圈結構也是腐爛的可以。', '很怪的事是他們全都寧願被拘提，然後才承認當初的錯誤，承認當初為什麼偽造，再然後都忘記當初的牽線人？ 一定牽扯到了什麼，整個影視圈結構也是腐爛的可以。', '「平常賣3元的水，我不敢喝，但賣30元的水，我卻願意買來喝。」 這原因其實是 心理價值感知 或 價格影響信任感。 “價格與品質認知” 人們常常會把高價商品和高品質、健康或安全掛鉤，便宜的水可能會讓人懷疑它是否乾淨、安全。 “心理安全感” 高價商品讓人覺得更可靠，願意冒險消費。 “社會與心理暗示” 貴的東西往往被認為「值得」，便宜的反而容易引起戒心。']"
2,44,2_他以為自己還在拍偶像劇嗎_竟然還能笑著講說釋然_陳柏霖最扯吧_868,"['他以為自己還在拍偶像劇嗎', '竟然還能笑著講說釋然', '陳柏霖最扯吧', '868', '且有女友蠻公開的', '一些夜店合照', '上次看到有人說他就是又蠢又邪惡', '一次多個', '不愧是藝人每個都很會演', '不知道他有沒有後悔這麼做']","['陳柏霖最扯吧！竟然還能笑著講說釋然，他以為自己還在拍偶像劇嗎？', '我以前看「我可能不會愛你」還蠻喜歡他的說🥲⋯後來新聞報導他跟房祖名一些吸毒的朋友常常在一起，他朋友圈似乎有點複雜⋯人家都說朋友圈可以顯示一個人的本性，我就漸漸覺得是不是陳柏霖本性也是⋯唉，大仁哥那部戲形象真的太好了🥹 之前真的蠻喜歡他的', '怎麼辦？看完這串，一些夜店合照，還有有人說Hebe以前對他的形容，讓我突然想到不久前綜口味賴妞報報爆了一個超大咖純情男星私下夜店和女生喇機，有約炮行為。 且有女友蠻公開的，當時想說還有哪個大明星會用純情兩個字當人設一直想不出來，現在想想，該不會是…… 影片第一位 youtube.com 牽手、抱睡都不算曖昧？年輕人的邊界感到底在哪？小賴被嗆：你好保守！｜綜口味開房間 EP.868']"
3,36,3_作者_翻譯_真的_他不用,"['作者', '翻譯', '真的', '他不用', '不好意思冒昧打擾', '不是支持那個團', '那麻煩把那個團抓出來', '他就是造假地中海貧血', '人家都要定義自己是喜劇演員', '以身入險']","['莫莉律師 您好，不好意思冒昧打擾，我是《ETtoday新聞雲》的編輯，敝姓鄺。 無意間看到這篇貼文，覺得您的評論相當中肯，想請問您是否能授權我引用文字呢？我希望以此為題材，撰寫一篇閃兵話題周邊的軟新聞。 期待您的回覆，謝謝。', '· 作者 啊～～～～🎵', '· 作者 😞😞']"
4,31,4_ettoday_net_news_快訊,"['ettoday', 'net', 'news', '快訊', 'tw', '玩很大', 'ettoday新聞雲', '不敢奢求原諒', 'toro曾嗆這句', 'energy書偉遭拘提']","['ettoday.net/news…  2 / 2 ettoday.net 認了！Energy書偉、棒棒堂小杰坦承閃兵\u3000各花15萬、30萬裝高血壓 | ETtoday社會新聞 | ETtoday新聞雲', '快訊／藝人閃兵案第三波搜索！\u3000Energy書偉遭拘提 ettoday.net/news…  2 / 2 ettoday.net 快訊／藝人閃兵案第三波搜索！\u3000Energy書偉遭拘提 | ETtoday社會新聞 | ETtoday新聞雲', 'star.ettoday.net/news…  2 / 2 star.ettoday.net 快訊／坤達認了閃兵：不敢奢求原諒\u3000緊急取消《玩很大》錄影趕回台灣 | ETtoday星光雲 | ETtoday新聞雲']"
5,24,5_到底幹嘛把自己的未來交到這些逃避責任的男人身上_並以當兵為榮的優質台灣男之外_一堆人還幫他們帶風向_人家韓國不管多大牌當紅藝人都光榮入,"['到底幹嘛把自己的未來交到這些逃避責任的男人身上', '並以當兵為榮的優質台灣男之外', '一堆人還幫他們帶風向', '人家韓國不管多大牌當紅藝人都光榮入', '我必須說', '學生黨真的一堆都在想著要怎麼把自己搞到身體有問題來逃避跟閃兵喔', '台灣男人真的是快沒救了', '為什麼台灣很多年輕人要閃兵', '現在一堆男的現在就是都抱持這種心態在逃兵的', '撇除那些實實在在完成兵役']","['人家韓國不管多大牌當紅藝人都光榮入、退役 為什麼台灣很多年輕人要閃兵 真奇怪', '重點是還有男的幫這種人說話，唉.....台灣男人真的是快沒救了，撇除那些實實在在完成兵役、並以當兵為榮的優質台灣男之外，現在一堆男的現在就是都抱持這種心態在逃兵的，我必須說，學生黨真的一堆都在想著要怎麼把自己搞到身體有問題來逃避跟閃兵喔 ＾＾要說這種男的多有責任感，誰會信= = 所以台灣女人現在不婚不生是正確的，到底幹嘛把自己的未來交到這些逃避責任的男人身上', '重點是還有男的幫這種人說話，唉.....台灣男人真的是快沒救了，撇除那些實實在在完成兵役、並以當兵為榮的優質台灣男之外，現在一堆男的現在就是都抱持這種心態在逃兵的，我必須說，學生黨真的一堆都在想著要怎麼把自己搞到身體有問題來逃避跟閃兵喔 ＾＾要說這種男的多有責任感，誰會信= = 所以台灣女人現在不婚不生是正確的，到底幹嘛把自己的未來交到這些逃避責任的男人身上']"
6,24,6_王大陸一網打盡演藝圈_王大陸這個已經不是線頭了_根本打結到變毛線團_energy全團都閃兵,"['王大陸一網打盡演藝圈', '王大陸這個已經不是線頭了', '根本打結到變毛線團', 'energy全團都閃兵', '客戶是大陸', '他肯大方承認', '大陸傳奇', '如今就不會這麼慘', '王大陸是被詐騙吧', '王大陸的役期並不長']","['哎..... 王大陸被抓時，就應該要有警覺 當時就出來自首 如今就不會這麼慘', '王大陸這個已經不是線頭了，根本打結到變毛線團。', '王大陸這個已經不是線頭了，根本打結到變毛線團。']"
7,23,7_其實早800年前就可以主動站出來面對_他會好好面對_偏偏要等到被抓才要承認_你要自首,"['其實早800年前就可以主動站出來面對', '他會好好面對', '偏偏要等到被抓才要承認', '你要自首', '第一時間', '說謊逃避硬拗到最後一刻警方上門了', '會完全配合司法', '早該第一波', '會勇敢面對', '是檢警都要拘提了']","['完全不值得同情+1 說謊逃避硬拗到最後一刻警方上門了 犯罪東窗事發了才在那邊 ：會完全配合司法、會勇敢面對 我真的吐🤮', '唉😮\u200d💨 真的⋯⋯  套句網友說的：就是偽造文書和逃避兵役。 他會好好面對 是檢警都要拘提了 當然要面對 你要自首 早該第一波 就可以出來了 還在得過且過……', '唉😮\u200d💨 真的⋯⋯  套句網友說的：就是偽造文書和逃避兵役。 他會好好面對 是檢警都要拘提了 當然要面對 你要自首 早該第一波 就可以出來了 還在得過且過……']"
8,22,8_altoops_幹滿2年_對國家沒幫助_有人抓,"['altoops', '幹滿2年', '對國家沒幫助', '有人抓', '我可能不會當兵', 'energy也抓好幾個', '一個團湊不出一張退伍令', 'sleep', 'produ', 'luck']","['怎麼連逃兵都還要挺啦 😆 是煞到喔 兵該當就要當啦  不管是誰都一樣 拿到兵單就去當兵 這樣還要挺的 真的是需要睡個好覺 睡起來頭腦清醒點 就能分是非對錯了 自從我換了這個枕頭 就睡得很好哦 免費分享 不收費 altoops.com/produ…  2 / 2 altoops.com Sleep Luck 好運舒眠枕', '是覺得... 當兵用意保家衛國 那不想當兵那些藝人公子哥 怎麼辦？ 可以 用金錢換天數， 用錢買國防武器， 一天一萬一年365萬， 反正 公子哥在軍中站爽缺也是混吃等死，對國家沒幫助，浪費彼此時間而已 且 總比逃兵好吧？ 逃兵給醫生賺， 對國家沒幫助， 自己還背上逃兵罪名， 還不如 沒力出錢， 沒錢出力。 天經地義。', '國防布是怎樣？ 難怪蔡英文笑你們國防布！ 1、在韓國🇰🇷，哪怕是當紅的天王巨星，時間到了就要去當兵，你沒有保衛國家、沒有退伍令，經紀公司根本不會簽你！ 經紀公司老闆也是當過兵，他會把閃兵、逃兵的當成廢物！ 2、基本兵役為1年！ 海軍陸戰隊：狂操苦練的只要當兵10月！ 其他的戰鬥部隊：幹滿1年！ 後勤支援部隊：幹滿1年2個月！ 其他的替代役、社會役：幹滿1年6個月！ 剩下體能差的閃兵、逃兵、爛兵：幹滿2年！ 你們都不用出操曬太陽，每天就是幫忙煮飯、洗衣、打草、打掃、整理庫房、搬運東西⋯⋯ 幹滿2年。你就退伍！']"
9,21,9_王中國花360w_為什麼王先生是360萬呀_大仁哥花十萬_修花15萬,"['王中國花360w', '為什麼王先生是360萬呀', '大仁哥花十萬', '修花15萬', '他整個很盤子耶', '人家都是10萬15萬', '滿滿的大盤子', '110', '查看動態', '熱門']","['修花15萬,大仁哥花十萬,王中國花360W,滿滿的大盤子...', '真的是這樣！ 我很久以前在蝦皮賣一個NIKE的腰包，因為覺得跑步時背它太大，幾乎沒在用，所以，就想便宜把它賣掉。訂個350的價格，有人私訊問我是不是假的🙄 於是，我立刻把價格翻倍，結果，很快就賣掉了！🤫🫣🤭🤣', '像王大陸這種人，你跟他報10萬20萬，他會覺得你不夠力，還會瞧不起你。 然後另一個跟他報360萬元，他就買單了。 #報價的藝術 1 萬 110 125 817 熱門 查看動態']"
10,18,10_cna_王大陸鞠躬道歉到崩潰_360萬真相他忍不住全說了_好歹也該裝做有在懺悔的樣子吧,"['cna', '王大陸鞠躬道歉到崩潰', '360萬真相他忍不住全說了', '好歹也該裝做有在懺悔的樣子吧', 'basketballtop5', '我是不懂陳柏霖怎麼還能嘻皮笑臉出來講話', '閃兵案開庭', 'tw', 'news', '也失望於他當初的決定']","['閃兵案開庭！王大陸鞠躬道歉到崩潰 360萬真相他忍不住全說了  1 / 2 3 1 1 熱門 查看動態', 'cna.com.tw/news… 更新一下 cna.com.tw 坤達道歉認躲兵役\u3000取消工作提前返台配合調查 | 社會 | 中央社 CNA', '王大陸鞠躬道歉到崩潰 basketballtop5.com/news…  2 / 2 basketballtop5.com 閃兵案開庭！王大陸鞠躬道歉到崩潰 360萬真相他忍不住全說了']"
11,17,11_也做過太多壞事_他寧願花300萬也不去當兵_寧願花三百多萬也不去當兵_而且其他人花10萬,"['也做過太多壞事', '他寧願花300萬也不去當兵', '寧願花三百多萬也不去當兵', '而且其他人花10萬', '到底多怕呀', '搞得我都不知道國中王是好人還是壞人了', '他可能是想說', '他如果去驗智商應該不用當兵', '他明明可以靠智商驗退', '他真的太謎了']","['他可能是想說 當兵一年如果免役成功，一天一萬 一年365 有便宜5萬不錯了⋯⋯', '也做過太多壞事 而且其他人花10萬，他寧願花300萬也不去當兵，到底多怕呀', '也做過太多壞事 而且其他人花10萬，他寧願花300萬也不去當兵，到底多怕呀']"
